"dormId","ratePlan","date","priceValue","priceCurrency","crawledAt","urlPart"
"903285","573940","2025-10-05","38.50","NZD","1759639475","17155/2025-10-05/1759639475.json"
"952844","808390","2025-10-05","44.00","NZD","1759639475","17155/2025-10-05/1759639475.json"
"802332","573941","2025-10-05","44.00","NZD","1759639475","17155/2025-10-05/1759639475.json"
"903285","573940","2025-10-06","33.00","NZD","1759639475","17155/2025-10-06/1759639475.json"
"952844","808390","2025-10-06","44.00","NZD","1759639475","17155/2025-10-06/1759639475.json"
"802332","573941","2025-10-06","44.00","NZD","1759639475","17155/2025-10-06/1759639475.json"
"903285","573940","2025-10-07","33.00","NZD","1759639475","17155/2025-10-07/1759639475.json"
"952844","808390","2025-10-07","44.00","NZD","1759639475","17155/2025-10-07/1759639475.json"
"802332","573941","2025-10-07","44.00","NZD","1759639475","17155/2025-10-07/1759639475.json"
"903285","573940","2025-10-08","33.00","NZD","1759639475","17155/2025-10-08/1759639475.json"
"952844","808390","2025-10-08","44.00","NZD","1759639475","17155/2025-10-08/1759639475.json"
"802332","573941","2025-10-08","44.00","NZD","1759639475","17155/2025-10-08/1759639475.json"
"903285","573940","2025-10-09","33.00","NZD","1759639475","17155/2025-10-09/1759639475.json"
"952844","808390","2025-10-09","44.00","NZD","1759639475","17155/2025-10-09/1759639475.json"
"802332","573941","2025-10-09","49.50","NZD","1759639475","17155/2025-10-09/1759639475.json"
"903285","573940","2025-10-10","38.50","NZD","1759639475","17155/2025-10-10/1759639475.json"
"952844","808390","2025-10-10","44.00","NZD","1759639475","17155/2025-10-10/1759639475.json"
"802332","573941","2025-10-10","49.50","NZD","1759639475","17155/2025-10-10/1759639475.json"
"903285","573940","2025-10-11","38.50","NZD","1759639475","17155/2025-10-11/1759639475.json"
"952844","808390","2025-10-11","44.00","NZD","1759639475","17155/2025-10-11/1759639475.json"
"802332","573941","2025-10-11","49.50","NZD","1759639475","17155/2025-10-11/1759639475.json"
"903285","573940","2025-10-12","44.00","NZD","1759639475","17155/2025-10-12/1759639475.json"
"952844","808390","2025-10-12","49.50","NZD","1759639475","17155/2025-10-12/1759639475.json"
"802332","573941","2025-10-12","55.00","NZD","1759639475","17155/2025-10-12/1759639475.json"
"903285","573940","2025-10-13","44.00","NZD","1759639475","17155/2025-10-13/1759639475.json"
"952844","808390","2025-10-13","49.50","NZD","1759639475","17155/2025-10-13/1759639475.json"
"802332","573941","2025-10-13","55.00","NZD","1759639475","17155/2025-10-13/1759639475.json"
"903285","573940","2025-10-14","44.00","NZD","1759639475","17155/2025-10-14/1759639475.json"
"952844","808390","2025-10-14","49.50","NZD","1759639475","17155/2025-10-14/1759639475.json"
"802332","573941","2025-10-14","55.00","NZD","1759639475","17155/2025-10-14/1759639475.json"
"903285","573940","2025-10-15","44.00","NZD","1759639475","17155/2025-10-15/1759639475.json"
"952844","808390","2025-10-15","49.50","NZD","1759639475","17155/2025-10-15/1759639475.json"
"802332","573941","2025-10-15","55.00","NZD","1759639475","17155/2025-10-15/1759639475.json"
"903285","573940","2025-10-16","44.00","NZD","1759639475","17155/2025-10-16/1759639475.json"
"952844","808390","2025-10-16","49.50","NZD","1759639475","17155/2025-10-16/1759639475.json"
"802332","573941","2025-10-16","49.50","NZD","1759639475","17155/2025-10-16/1759639475.json"
"903285","573940","2025-10-17","44.00","NZD","1759639475","17155/2025-10-17/1759639475.json"
"952844","808390","2025-10-17","49.50","NZD","1759639475","17155/2025-10-17/1759639475.json"
"802332","573941","2025-10-17","49.50","NZD","1759639475","17155/2025-10-17/1759639475.json"
"903285","573940","2025-10-18","44.00","NZD","1759639475","17155/2025-10-18/1759639475.json"
"952844","808390","2025-10-18","49.50","NZD","1759639475","17155/2025-10-18/1759639475.json"
"802332","573941","2025-10-18","49.50","NZD","1759639475","17155/2025-10-18/1759639475.json"
"903285","573940","2025-10-19","44.00","NZD","1759639475","17155/2025-10-19/1759639475.json"
"952844","808390","2025-10-19","49.50","NZD","1759639475","17155/2025-10-19/1759639475.json"
"802332","573941","2025-10-19","49.50","NZD","1759639475","17155/2025-10-19/1759639475.json"
"903285","573940","2025-10-20","44.00","NZD","1759639475","17155/2025-10-20/1759639475.json"
"952844","808390","2025-10-20","49.50","NZD","1759639475","17155/2025-10-20/1759639475.json"
"802332","573941","2025-10-20","49.50","NZD","1759639475","17155/2025-10-20/1759639475.json"
"903285","573940","2025-10-21","44.00","NZD","1759639475","17155/2025-10-21/1759639475.json"
"952844","808390","2025-10-21","49.50","NZD","1759639475","17155/2025-10-21/1759639475.json"
"802332","573941","2025-10-21","49.50","NZD","1759639475","17155/2025-10-21/1759639475.json"
"903285","573940","2025-10-22","44.00","NZD","1759639475","17155/2025-10-22/1759639475.json"
"952844","808390","2025-10-22","49.50","NZD","1759639475","17155/2025-10-22/1759639475.json"
"802332","573941","2025-10-22","49.50","NZD","1759639475","17155/2025-10-22/1759639475.json"
"903285","573940","2025-10-23","44.00","NZD","1759639475","17155/2025-10-23/1759639475.json"
"952844","808390","2025-10-23","49.50","NZD","1759639475","17155/2025-10-23/1759639475.json"
"802332","573941","2025-10-23","49.50","NZD","1759639475","17155/2025-10-23/1759639475.json"
"903285","573940","2025-10-24","44.00","NZD","1759639475","17155/2025-10-24/1759639475.json"
"952844","808390","2025-10-24","49.50","NZD","1759639475","17155/2025-10-24/1759639475.json"
"802332","573941","2025-10-24","49.50","NZD","1759639475","17155/2025-10-24/1759639475.json"
"903285","573940","2025-10-25","44.00","NZD","1759639475","17155/2025-10-25/1759639475.json"
"952844","808390","2025-10-25","49.50","NZD","1759639475","17155/2025-10-25/1759639475.json"
"802332","573941","2025-10-25","49.50","NZD","1759639475","17155/2025-10-25/1759639475.json"
"903285","573940","2025-10-26","44.00","NZD","1759639475","17155/2025-10-26/1759639475.json"
"952844","808390","2025-10-26","49.50","NZD","1759639475","17155/2025-10-26/1759639475.json"
"802332","573941","2025-10-26","49.50","NZD","1759639475","17155/2025-10-26/1759639475.json"
"903285","573940","2025-10-27","44.00","NZD","1759639475","17155/2025-10-27/1759639475.json"
"952844","808390","2025-10-27","49.50","NZD","1759639475","17155/2025-10-27/1759639475.json"
"802332","573941","2025-10-27","49.50","NZD","1759639475","17155/2025-10-27/1759639475.json"
"903285","573940","2025-10-28","44.00","NZD","1759639475","17155/2025-10-28/1759639475.json"
"952844","808390","2025-10-28","49.50","NZD","1759639475","17155/2025-10-28/1759639475.json"
"802332","573941","2025-10-28","49.50","NZD","1759639475","17155/2025-10-28/1759639475.json"
"903285","573940","2025-10-29","44.00","NZD","1759639475","17155/2025-10-29/1759639475.json"
"952844","808390","2025-10-29","49.50","NZD","1759639475","17155/2025-10-29/1759639475.json"
"802332","573941","2025-10-29","49.50","NZD","1759639475","17155/2025-10-29/1759639475.json"
"903285","573940","2025-10-30","44.00","NZD","1759639475","17155/2025-10-30/1759639475.json"
"952844","808390","2025-10-30","49.50","NZD","1759639475","17155/2025-10-30/1759639475.json"
"802332","573941","2025-10-30","49.50","NZD","1759639475","17155/2025-10-30/1759639475.json"
"903285","573940","2025-10-31","44.00","NZD","1759639475","17155/2025-10-31/1759639475.json"
"952844","808390","2025-10-31","49.50","NZD","1759639475","17155/2025-10-31/1759639475.json"
"802332","573941","2025-10-31","49.50","NZD","1759639475","17155/2025-10-31/1759639475.json"
"903285","573940","2025-11-01","44.00","NZD","1759639475","17155/2025-11-01/1759639475.json"
"952844","808390","2025-11-01","49.50","NZD","1759639475","17155/2025-11-01/1759639475.json"
